Datetime,yhat,date,hour
2018-08-07 01:00:00,23068.771484375,2018-08-07,1
2018-08-07 02:00:00,22264.9609375,2018-08-07,2
2018-08-07 03:00:00,21909.89453125,2018-08-07,3
2018-08-07 04:00:00,21712.5,2018-08-07,4
2018-08-07 05:00:00,22066.056640625,2018-08-07,5
2018-08-07 06:00:00,23030.447265625,2018-08-07,6
2018-08-07 07:00:00,24855.19140625,2018-08-07,7
2018-08-07 08:00:00,26757.294921875,2018-08-07,8
2018-08-07 09:00:00,28343.353515625,2018-08-07,9
2018-08-07 10:00:00,28309.48046875,2018-08-07,10
2018-08-07 11:00:00,28301.66015625,2018-08-07,11
2018-08-07 12:00:00,27915.833984375,2018-08-07,12
2018-08-07 13:00:00,27588.806640625,2018-08-07,13
2018-08-07 14:00:00,27434.34375,2018-08-07,14
2018-08-07 15:00:00,27250.478515625,2018-08-07,15
2018-08-07 16:00:00,26997.458984375,2018-08-07,16
2018-08-07 17:00:00,26894.458984375,2018-08-07,17
2018-08-07 18:00:00,26932.326171875,2018-08-07,18
2018-08-07 19:00:00,26961.876953125,2018-08-07,19
2018-08-07 20:00:00,27044.240234375,2018-08-07,20
2018-08-07 21:00:00,27614.537109375,2018-08-07,21
2018-08-07 22:00:00,27388.015625,2018-08-07,22
2018-08-07 23:00:00,26165.673828125,2018-08-07,23
2018-08-08 00:00:00,24567.943359375,2018-08-08,0
2018-08-08 01:00:00,23314.35546875,2018-08-08,1
2018-08-08 02:00:00,22457.5078125,2018-08-08,2
2018-08-08 03:00:00,21920.98046875,2018-08-08,3
2018-08-08 04:00:00,21741.00390625,2018-08-08,4
2018-08-08 05:00:00,21939.111328125,2018-08-08,5
2018-08-08 06:00:00,22746.796875,2018-08-08,6
2018-08-08 07:00:00,24267.912109375,2018-08-08,7
2018-08-08 08:00:00,25886.2421875,2018-08-08,8
2018-08-08 09:00:00,27429.716796875,2018-08-08,9
2018-08-08 10:00:00,28410.29296875,2018-08-08,10
2018-08-08 11:00:00,27992.408203125,2018-08-08,11
2018-08-08 12:00:00,27657.568359375,2018-08-08,12
2018-08-08 13:00:00,27413.841796875,2018-08-08,13
2018-08-08 14:00:00,27046.7265625,2018-08-08,14
2018-08-08 15:00:00,26794.2578125,2018-08-08,15
2018-08-08 16:00:00,26592.064453125,2018-08-08,16
2018-08-08 17:00:00,26515.337890625,2018-08-08,17
2018-08-08 18:00:00,26530.482421875,2018-08-08,18
2018-08-08 19:00:00,26651.8046875,2018-08-08,19
2018-08-08 20:00:00,26677.19921875,2018-08-08,20
2018-08-08 21:00:00,27186.6171875,2018-08-08,21
2018-08-08 22:00:00,26925.849609375,2018-08-08,22
2018-08-08 23:00:00,25664.369140625,2018-08-08,23
2018-08-09 00:00:00,24036.306640625,2018-08-09,0
2018-08-09 01:00:00,22895.197265625,2018-08-09,1
2018-08-09 02:00:00,22181.23046875,2018-08-09,2
2018-08-09 03:00:00,21826.869140625,2018-08-09,3
2018-08-09 04:00:00,21682.509765625,2018-08-09,4
2018-08-09 05:00:00,21848.572265625,2018-08-09,5
2018-08-09 06:00:00,22726.3828125,2018-08-09,6
2018-08-09 07:00:00,24232.71484375,2018-08-09,7
2018-08-09 08:00:00,25938.25390625,2018-08-09,8
2018-08-09 09:00:00,27522.62109375,2018-08-09,9
2018-08-09 10:00:00,28637.8515625,2018-08-09,10
2018-08-09 11:00:00,28288.212890625,2018-08-09,11
2018-08-09 12:00:00,27963.021484375,2018-08-09,12
2018-08-09 13:00:00,27494.52734375,2018-08-09,13
2018-08-09 14:00:00,27237.587890625,2018-08-09,14
2018-08-09 15:00:00,26968.197265625,2018-08-09,15
2018-08-09 16:00:00,26760.150390625,2018-08-09,16
2018-08-09 17:00:00,26808.259765625,2018-08-09,17
2018-08-09 18:00:00,26957.73046875,2018-08-09,18
2018-08-09 19:00:00,26901.14453125,2018-08-09,19
2018-08-09 20:00:00,26874.259765625,2018-08-09,20
2018-08-09 21:00:00,27429.15625,2018-08-09,21
2018-08-09 22:00:00,27082.138671875,2018-08-09,22
2018-08-09 23:00:00,25742.740234375,2018-08-09,23
2018-08-10 00:00:00,24280.484375,2018-08-10,0
